year,month,circ_type
1974,2,"['SA', 'SA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'WS', 'WS', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'WW']"
1975,2,"['SWZ', 'U', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HM', 'HM', 'HM', 'WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM']"
1976,2,"['HFA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'U', 'WW', 'WW', 'WW', 'WW', 'TM', 'TM', 'TM', 'SEA', 'SEA', 'SEA', 'SA', 'SA', 'SA', 'SA', 'SA', 'BM', 'BM', 'BM', 'HM', 'HM', 'HM']"
1977,2,"['BM', 'BM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'TRW', 'TRW', 'TRW', 'NA', 'NA', 'NA', 'NA']"
1978,2,"['TRM', 'TRM', 'TRM', 'BM', 'BM', 'BM', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'TM', 'TM', 'TM', 'TM', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ']"
1979,2,"['WZ', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'HNFZ', 'HNFZ', 'HNFZ', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'BM', 'BM', 'BM', 'BM', 'BM', 'WA']"
1980,2,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SWA', 'SWA', 'SWA', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'BM', 'BM', 'BM', 'NWZ']"
1940,3,"['HB', 'HB', 'HB', 'NZ', 'NZ', 'NZ', 'NZ', 'WA', 'WA', 'WA', 'WA', 'WS', 'WS', 'WS', 'WS', 'HM', 'HM', 'HM', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'TM', 'TM', 'TM', 'WZ', 'WZ', 'WZ']"
1941,3,"['SWZ', 'SWZ', 'SWZ', 'WS', 'WS', 'WS', 'U', 'HNFZ', 'HNFZ', 'HNFZ', 'HNA', 'HNA', 'HNA', 'HNA', 'NEA', 'NEA', 'NEA', 'HB', 'HB', 'HB', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TM', 'TM', 'TM']"
1942,3,"['HNA', 'HNA', 'HNA', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SEA', 'SEA', 'SEA', 'TB', 'TB', 'TB', 'HFA', 'HFA', 'HFA', 'BM', 'BM', 'BM', 'HNA', 'HNA', 'HNA', 'HNA', 'BM', 'BM', 'BM']"
1943,3,"['NWA', 'NWA', 'NWA', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ']"
1944,3,"['TRM', 'TRM', 'TRM', 'TRM', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'TRM', 'TRM', 'TRM', 'TRM', 'WA', 'WA', 'WA', 'NWZ', 'NWZ', 'NWZ', 'NA', 'NA', 'NA', 'NEA', 'NEA', 'NEA', 'HNZ', 'HNZ', 'HNZ', 'HNZ']"
1945,3,"['U', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'NWA', 'NWA', 'NWA', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ']"
1946,3,"['SEZ', 'SEZ', 'SEZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HFA', 'HFA', 'HFA', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM']"
1947,3,"['HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRW', 'TRW', 'TRW', 'TRW', 'WS']"
1948,3,"['HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'WZ']"
1949,3,"['NZ', 'NZ', 'NZ', 'NZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'SEZ', 'SEZ', 'SEZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HNA']"
1950,3,"['NEA', 'NEA', 'NEA', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'BM', 'BM', 'BM', 'BM', 'BM', 'HB', 'HB', 'HB', 'HB', 'WZ']"
1951,3,"['NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'HNFZ', 'HNFZ', 'HNFZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WA', 'WA', 'WA', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM']"
1952,3,"['U', 'SWA', 'SWA', 'SWA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WS', 'WS', 'WS', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ']"
1953,3,"['HM', 'HM', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'WA', 'WA', 'WA', 'WA', 'WA']"
1954,3,"['TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'SA', 'SA', 'SA', 'SA', 'SEA', 'SEA', 'SEA', 'SEA', 'HNA', 'HNA', 'HNA', 'HNA', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WW', 'WW', 'WW']"
1955,3,"['HM', 'HM', 'HM', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'U', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'HB', 'HB', 'HB', 'HB']"
1956,3,"['WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEA', 'SEA', 'SEA', 'SEA', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'SEA', 'SEA', 'SEA', 'U', 'HB']"
1957,3,"['NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'WW', 'WW', 'WW', 'SA', 'SA', 'SA', 'SA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'U', 'SEZ', 'SEZ', 'SEZ', 'SWZ', 'SWZ', 'SWZ', 'HFZ', 'HFZ', 'HFZ']"
1958,3,"['BM', 'BM', 'BM', 'BM', 'BM', 'NZ', 'NZ', 'NZ', 'TM', 'TM', 'TM', 'WS', 'WS', 'WS', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'HFA']"
1959,3,"['HM', 'HM', 'HM', 'SZ', 'SZ', 'SZ', 'SZ', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEA', 'SEA', 'SEA', 'SEA', 'SA', 'SA', 'SA', 'WZ', 'WZ', 'WZ', 'WW', 'WW', 'WW']"
1960,3,"['WW', 'WW', 'WW', 'HFA', 'HFA', 'HFA', 'HFA', 'SEA', 'SEA', 'SEA', 'SEA', 'SA', 'SA', 'SA', 'SA', 'NEA', 'NEA', 'NEA', 'NEA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ']"
1961,3,"['WZ', 'WA', 'WA', 'WA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NZ', 'NZ', 'NZ', 'NZ', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'WZ', 'WZ', 'WZ', 'WZ']"
1962,3,"['HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'U', 'HM', 'HM', 'HM', 'U', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'U', 'NWZ', 'NWZ', 'NWZ', 'WS', 'WS', 'WS']"
1963,3,"['HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'SWA', 'SWA', 'SWA', 'WS', 'WS', 'WS', 'SWZ', 'SWZ', 'SWZ', 'WW', 'WW', 'WW', 'WW', 'WW', 'NEZ', 'NEZ', 'NEZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SEZ', 'SEZ', 'SEZ']"
1964,3,"['HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNA', 'HNA', 'HNA', 'SEA', 'SEA', 'SEA', 'SEA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEZ', 'SEZ', 'SEZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HNFZ']"
1965,3,"['HNZ', 'TM', 'TM', 'TM', 'TM', 'U', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'HM']"
1966,3,"['HM', 'HM', 'HM', 'BM', 'BM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'WZ']"
1967,3,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SWA', 'SWA', 'SWA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'HM']"
1968,3,"['HFA', 'HFA', 'HFA', 'NWZ', 'NWZ', 'NWZ', 'HB', 'HB', 'HB', 'NZ', 'NZ', 'NZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SWA', 'SWA', 'SWA', 'HM', 'HM', 'HM', 'HM', 'WA']"
1969,3,"['SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'NWA', 'NWA', 'NWA', 'NWA', 'WS', 'WS', 'WS', 'WS', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFA', 'HFA', 'HFA', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'WZ', 'WZ']"
1970,3,"['NWZ', 'NWZ', 'TRM', 'TRM', 'TRM', 'TM', 'TM', 'TM', 'TM', 'TRW', 'TRW', 'TRW', 'U', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'U', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'U', 'TRM']"
1971,3,"['NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NZ', 'NZ', 'NZ', 'NZ', 'U', 'TRW', 'TRW', 'TRW', 'U', 'TB', 'TB', 'TB', 'TB', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'NEZ', 'NEZ', 'NEZ', 'NEZ']"
1972,3,"['SEZ', 'SEZ', 'WW', 'WW', 'WW', 'WW', 'TRW', 'TRW', 'TRW', 'NEZ', 'NEZ', 'NEZ', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'HB', 'HB', 'HB', 'HB', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ']"
1973,3,"['WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'U', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'NWA', 'NWA', 'NWA', 'NWA', 'SWA', 'SWA', 'SWA', 'SWA', 'TRW', 'TRW', 'TRW', 'BM', 'BM', 'BM']"
1974,3,"['WW', 'WW', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'WW', 'WW', 'WW', 'SWZ', 'SWZ', 'SWZ', 'TRW', 'TRW', 'TRW', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEZ', 'SEZ', 'SEZ', 'HFA', 'HFA']"
1975,3,"['HM', 'TRW', 'TRW', 'TRW', 'TRW', 'WZ', 'WZ', 'WZ', 'U', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HFA', 'HFA', 'HFA', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'TRM', 'TRM']"
1976,3,"['NWA', 'NWA', 'NWA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'WW', 'WW', 'WW', 'WA', 'WA', 'WA', 'WA']"
1977,3,"['NA', 'WA', 'WA', 'WA', 'WA', 'WA', 'SWA', 'SWA', 'SWA', 'SWA', 'WW', 'WW', 'WW', 'WW', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'HNZ', 'HNZ', 'HNZ', 'HNFA', 'HNFA', 'HNFA', 'HNZ', 'HNZ', 'HNZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ']"
1978,3,"['SZ', 'SZ', 'SZ', 'SZ', 'U', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SZ', 'SZ', 'SZ', 'SZ']"
1979,3,"['WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'WZ', 'WZ', 'WZ', 'WZ', 'TRW', 'TRW', 'TRW', 'TRW', 'TM', 'TM', 'TM']"
1980,3,"['NWZ', 'NWZ', 'NWZ', 'NWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NEZ', 'NEZ', 'NEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'WZ', 'WZ', 'WZ', 'WZ']"
1940,4,"['WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'HNA', 'HNA', 'HNA', 'HNA', 'TB', 'TB', 'TB', 'HFA', 'HFA', 'HFA', 'SEA']"
1941,4,"['TB', 'TB', 'TB', 'TB', 'TB', 'U', 'HB', 'HB', 'HB', 'HB', 'HB', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA']"
1942,4,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'WZ', 'WZ', 'WZ', 'HNA', 'HNA', 'HNA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA']"
1943,4,"['NWZ', 'NWZ', 'NWZ', 'NWZ', 'U', 'TRM', 'TRM', 'TRM', 'TRM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'WA', 'WA', 'WA', 'SWA', 'SWA', 'SWA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ']"
1944,4,"['HNZ', 'TB', 'TB', 'TB', 'U', 'HM', 'HM', 'HM', 'WW', 'WW', 'WW', 'WW', 'TB', 'TB', 'TB', 'TB', 'TB', 'WA', 'WA', 'WA', 'WA', 'BM', 'BM', 'BM', 'HB', 'HB', 'HB', 'HB', 'HB', 'WZ']"
1945,4,"['WZ', 'WZ', 'WZ', 'WZ', 'U', 'HB', 'HB', 'HB', 'HB', 'HNA', 'HNA', 'HNA', 'HNA', 'HM', 'HM', 'HM', 'HB', 'HB', 'HB', 'NZ', 'NZ', 'NZ', 'HNA', 'HNA', 'HNA', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ']"
1946,4,"['HM', 'HM', 'HM', 'HM', 'U', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'WA', 'WA', 'WA', 'TM', 'TM', 'TM', 'TM', 'HNFZ']"
1947,4,"['WS', 'WS', 'WS', 'WS', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'SWA', 'SWA', 'SWA', 'SWA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NEZ']"
1948,4,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'U', 'NWA', 'NWA', 'NWA', 'NWA', 'TRW', 'TRW']"
1949,4,"['HNA', 'HNA', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'TRM', 'TRM', 'TRM', 'TRM', 'WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA']"
1950,4,"['WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW', 'NEZ', 'NEZ', 'NEZ', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'HM']"
1951,4,"['TRM', 'TRM', 'TRM', 'WA', 'WA', 'WA', 'WA', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'WA', 'WA', 'WA', 'WA', 'HNA', 'HNA', 'HNA', 'HNA', 'BM', 'BM', 'BM', 'BM', 'NZ', 'NZ', 'NZ', 'NZ']"
1952,4,"['HNZ', 'HNZ', 'WA', 'WA', 'WA', 'WA', 'WA', 'SA', 'SA', 'SA', 'SA', 'BM', 'BM', 'BM', 'BM', 'HB', 'HB', 'HB', 'HB', 'TRW', 'TRW', 'TRW', 'TRW', 'NEA', 'NEA', 'NEA', 'NEA', 'SEA', 'SEA', 'SEA']"
1953,4,"['WA', 'TRW', 'TRW', 'TRW', 'TRW', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'TRM', 'TRM', 'TRM', 'TRM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'TB', 'TB', 'TB', 'TB', 'TB']"
1954,4,"['WW', 'WZ', 'WZ', 'WZ', 'WZ', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA']"
1955,4,"['HB', 'WA', 'WA', 'WA', 'WA', 'WW', 'WW', 'WW', 'WW', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA']"
1956,4,"['HB', 'HB', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'HM', 'HM', 'HM', 'NWZ', 'NWZ', 'NWZ', 'TRW', 'TRW', 'TRW', 'HB', 'HB', 'HB', 'HB', 'U', 'NEZ', 'NEZ', 'NEZ', 'TRW', 'TRW', 'TRW', 'TRW', 'NEZ', 'NEZ']"
1957,4,"['HFZ', 'HFZ', 'BM', 'BM', 'BM', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'NEA', 'NEA', 'NEA', 'BM', 'BM', 'BM', 'BM', 'BM', 'HFA', 'HFA', 'HFA', 'HFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HB']"
1958,4,"['HFA', 'HFA', 'HFA', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'NEZ', 'NEZ', 'NEZ', 'BM', 'BM', 'BM', 'TRM', 'TRM', 'TRM', 'WA', 'WA', 'WA', 'HFA', 'HFA', 'HFA', 'HFA', 'U', 'TRM', 'TRM', 'TRM', 'HM']"
1959,4,"['BM', 'BM', 'BM', 'BM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SA', 'SA', 'SA', 'SA', 'NA', 'NA', 'NA', 'NA', 'NA', 'HM', 'HM', 'HM', 'HM', 'TRW', 'TRW', 'TRW', 'TRW', 'TRW']"
1960,4,"['HNZ', 'SEA', 'SEA', 'SEA', 'SWA', 'SWA', 'SWA', 'WW', 'WW', 'WW', 'WW', 'WW', 'WZ', 'WZ', 'WZ', 'WZ', 'NEA', 'NEA', 'NEA', 'NEA', 'NEA', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'TM', 'TM', 'TM', 'TM', 'TM']"
1961,4,"['WS', 'WS', 'WS', 'WS', 'SWZ', 'SWZ', 'SWZ', 'HNA', 'HNA', 'HNA', 'U', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'HM', 'HM', 'HM', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'HNFZ', 'HNFZ', 'HNFZ']"
1962,4,"['WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'SA', 'NEA', 'NEA', 'NEA', 'NA', 'NA', 'NA', 'NA']"
1963,4,"['BM', 'BM', 'BM', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'SZ', 'SZ', 'SZ', 'SZ', 'WA', 'WA', 'WA', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'BM', 'BM', 'BM', 'NWZ']"
1964,4,"['HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'SA', 'SA', 'SA', 'SA', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'NA', 'NA', 'NA', 'WZ', 'WZ', 'WZ']"
1965,4,"['HM', 'HM', 'HM', 'HM', 'TRW', 'TRW', 'TRW', 'TRW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'WW', 'TRM', 'TRM', 'TRM', 'TRM', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'HNFZ', 'HNFZ', 'HNFZ']"
1966,4,"['WZ', 'WZ', 'HNFZ', 'HNFZ', 'HNFZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'TRW', 'TRW', 'TRW', 'SWA', 'SWA', 'SWA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM']"
