"Year","Original","Adjusted_ERA5","Adjusted_CESM2","Residual_ERA5","Residual_CESM2"
1950,-2.82079009718507,-2.84788211163531,-0.235103915623359,0.027092014450238,-2.58568618156171
1951,-1.16074493341311,-1.1032915061936,0.686779236537141,-0.0574534272195142,-1.84752416995026
1952,-3.87761532212927,-3.32284262204469,0.0573360539707291,-0.554772700084573,-3.9349513761
1953,-2.79056753424337,-3.16589252587367,-1.02408908398364,0.375324991630294,-1.76647845025973
1954,-4.23132585371656,-3.65671189792288,-0.452444314895261,-0.574613955793675,-3.7788815388213
1955,-2.79677978494197,-3.10798991902312,0.18150175570666,0.311210134081155,-2.97828154064863
1956,-5.38045996490145,-4.30243916065723,-0.778115599741971,-1.07802080424422,-4.60234436515948
1957,-1.65422247248358,-1.3654523946326,0.204842726106665,-0.288770077850986,-1.85906519859025
1958,-1.71794525573749,-1.9110468887051,0.805310082810116,0.193101632967607,-2.52325533854761
1959,-1.72624141404362,-2.08780198103292,0.301624511547365,0.361560566989299,-2.02786592559098
1960,-2.57658371959397,-3.24242538427555,0.13949097597116,0.665841664681582,-2.71607469556513
1961,-1.93180376400186,-2.43350322629221,0.136515538627571,0.501699462290353,-2.06831930262943
1962,-4.06990496633073,-3.72901547140583,-0.329961716312792,-0.340889494924894,-3.73994325001794
1963,-7.65214930578526,-6.7755172503229,-2.54542852636939,-0.876632055462361,-5.10672077941587
1964,-3.98441737042147,-3.79042621992611,-0.541898117708884,-0.193991150495362,-3.44251925271259
1965,-2.74599538564314,-2.48261694516343,0.555119908918305,-0.26337844047971,-3.30111529456145
1966,-1.60358679415782,-2.15439060377495,0.196039920630528,0.550803809617131,-1.79962671478835
1967,-2.09658206407004,-1.66177855367686,0.535808467599739,-0.43480351039318,-2.63239053166978
1968,-3.59759202419754,-3.65485543903047,-0.541184020504639,0.0572634148329292,-3.0564080036929
1969,-4.96001181439093,-4.58692511724019,-1.1476552035712,-0.37308669715074,-3.81235661081973
1970,-3.82409241003265,-3.46802647875266,-0.601981460630407,-0.35606593127999,-3.22211094940225
1971,-2.06296836915437,-2.69996171957576,-0.44165677202369,0.636993350421391,-1.62131159713068
1972,-2.05117066506288,-2.348880824347,-0.480023817769023,0.297710159284116,-1.57114684729386
1973,-3.17176246815117,-2.98485454423249,-0.0686571364775321,-0.18690792391868,-3.10310533167363
1974,0.445673931911133,-0.208940658400632,0.901835788646945,0.654614590311765,-0.456161856735812
1975,-0.878148483813057,-1.55402630226763,-0.0804874216382927,0.67587781845457,-0.797661062174765
1976,-2.68764362856656,-2.4796965931644,0.0638352737121022,-0.207947035402164,-2.75147890227866
1977,-1.25742654723977,-1.18117657776746,0.569008071899598,-0.0762499694723056,-1.82643461913937
1978,-2.69148419555008,-2.90684180545725,0.159344354267124,0.215357609907169,-2.8508285498172
1979,-2.86050042567504,-2.50731007033094,0.0769499706299403,-0.3531903553441,-2.93745039630498
1980,-2.8220719003919,-2.42143383542326,-0.236968224438872,-0.400638064968632,-2.58510367595302
1981,-4.49049434528229,-3.49038981702914,-0.282572917843089,-1.00010452825315,-4.20792142743921
1982,-2.80094779373337,-2.9935810901479,-0.141110523219406,0.192633296414522,-2.65983727051397
1983,-2.22156431279492,-2.03570718244449,0.598712552643662,-0.185857130350424,-2.82027686543858
1984,-2.63446321609655,-2.28877552694675,0.0471637623651616,-0.345687689149798,-2.68162697846171
1985,-4.15824637643157,-3.30138939832967,-0.294760788785256,-0.856856978101902,-3.86348558764632
1986,-4.08088973567817,-3.3924233178881,-0.122639706974766,-0.688466417790063,-3.9582500287034
1987,-4.02355689667855,-3.9134835201191,-1.12810394162434,-0.11007337655945,-2.8954529550542
1988,-0.591601929276707,-1.05181737796673,0.922247003807475,0.46021544869002,-1.51384893308418
1989,-0.44839451565985,-0.570190720995583,1.15819497344698,0.121796205335733,-1.60658948910683
1990,-0.482973644436673,-0.51917058548366,1.40558874787559,0.0361969410469863,-1.88856239231226
1991,-3.02516424139803,-2.72426105177473,-0.570593933487496,-0.300903189623296,-2.45457030791053
1992,-1.60394316314503,-1.75335295601892,-0.409701322462369,0.149409792873895,-1.19424184068266
1993,-1.09283695981065,-0.98162213650258,1.43805021755357,-0.111214823308071,-2.53088717736422
1994,-0.333743843695652,-1.04180701651828,0.666472576929051,0.708063172822629,-1.0002164206247
1995,-1.78573958380695,-2.16342104504013,0.146934052416054,0.377681461233184,-1.932673636223
1996,-4.41983343817934,-4.56565530931235,-1.42167503682121,0.145821871133013,-2.99815840135813
1997,-1.32014435850529,-1.80475639144612,0.0263881058095595,0.484612032940828,-1.34653246431485
1998,-0.0877218008780181,-0.970113254697598,0.430849077211455,0.88239145381958,-0.518570878089473
1999,-1.89069851619458,-1.68385805760903,1.21852583794299,-0.206840458585545,-3.10922435413756
2000,-0.514108064097593,-0.861074571713457,0.83555524734338,0.346966507615864,-1.34966331144097
2001,-2.00785323818948,-2.41648836900183,-0.630891113937301,0.408635130812349,-1.37696212425218
2002,-0.499426922914254,-0.944201945920672,0.581596942792912,0.444775023006418,-1.08102386570717
2003,-2.73067657539782,-3.33966809343731,-0.569184149340676,0.608991518039495,-2.16149242605714
2004,-1.88881111668767,-2.7097192218986,0.130312183825947,0.820908105210921,-2.01912330051362
2005,-2.85712053464773,-3.07890359123321,-0.372631422387524,0.221783056585482,-2.4844891122602
2006,-2.19434921465577,-3.16002261194718,-0.520347596677077,0.965673397291401,-1.6740016179787
2007,0.71722770769666,-0.00713359707761784,0.873968806480983,0.724361304774278,-0.156741098784324
