"Year","Original","Adjusted_ERA5","Adjusted_CESM2","Residual_ERA5","Residual_CESM2"
2008,0.475889016084259,0.00449780833382326,0.328987760130003,0.471391207750436,0.146901255954257
2009,-3.27479566233148,-3.9358949848191,-0.702675357510399,0.661099322487624,-2.57212030482108
2010,-4.62842145138044,-4.18057424780669,-0.980395760853715,-0.447847203573748,-3.64802569052673
2011,-0.854389909041228,-1.45513583038196,0.676010987778854,0.600745921340734,-1.53040089682008
2012,-2.76838197563167,-2.64790948255157,-0.125162259685965,-0.1204724930801,-2.6432197159457
2013,-1.93834371882639,-2.81950011995079,-0.404682941943425,0.881156401124401,-1.53366077688296
2014,0.850795290289527,-0.687949517373181,0.93127618955872,1.53874480766271,-0.0804808992691921
2015,0.332515378345393,-1.11851334287492,0.700392583584531,1.45102872122031,-0.367877205239138
2016,-0.15358554837857,-1.4745995511286,0.364118318407503,1.32101400275003,-0.517703866786073
2017,-1.95492170286744,-2.28194890760525,0.335110994414994,0.327027204737808,-2.29003269728243
2018,-0.936831291127188,-2.11816493867292,-0.130249954565178,1.18133364754574,-0.806581336562011
2019,0.146228700492267,-1.90033344042529,0.119391940578785,2.04656214091755,0.0268367599134825
2020,0.843192831333661,-0.936042613754965,1.51594771355454,1.77923544508863,-0.672754882220883
2021,-0.716517145412335,-2.21343442303138,-0.336510764261661,1.49691727761905,-0.380006381150674
2022,0.146220267972687,-1.43020698221778,0.623165970007512,1.57642725019047,-0.476945702034825
2023,0.816720894088041,-0.659164159247465,0.494458933097998,1.47588505333551,0.322261960990043
2024,1.07814397168533,-1.39646187621604,0.35536099904246,2.47460584790137,0.722782972642872
