"V1","V2","V3","V4","V5","time"
12.6766819338131,-28.1390454707371,0.216316415451472,4.28880269712242,-31.2578751859176,1
13.0296169062222,-29.4401855141541,1.10151660946665,5.45051805658987,-29.9466064042895,2
11.1457662598564,-33.6382179540833,2.59125876187608,7.10523251415399,-32.5607103843954,3
7.51444782106834,-36.4521915227584,6.27468591548926,6.99464072616482,-32.5983143897415,4
1.79953545998451,-42.7432437270905,7.09522902053983,8.31321334409022,-33.1532631586763,5
-2.82654753527803,-45.0786346802817,8.45520292087834,7.45439448795227,-33.6089806517732,6
-6.59312412286565,-47.1767751704983,12.5562061307178,6.33919616003972,-35.1020623545296,7
-11.0491362573742,-51.5695402602799,12.4427614228627,2.41382554086602,-36.9698662771408,8
-16.6131035353478,-55.3187915840994,15.3924814431384,2.11868136177549,-37.8792094416998,9
-18.3128487977248,-58.1330993333761,18.3079833864357,-4.12191934479706,-38.2920084775003,10
-20.7847071054332,-62.2494893804407,21.3182150329313,-7.64481872487257,-37.5421354848339,11
-22.4130410334237,-65.4429031321021,20.7238989391314,-9.42393753224868,-33.8023229861974,12
-25.4316881172552,-68.132306291997,19.2173765188377,-9.36095784722368,-29.3138548335094,13
-27.2053432255319,-69.6863363817364,19.1421360358026,-11.7993433564161,-26.5964575927516,14
-26.7648935292912,-69.8454231604969,20.9759558831024,-15.2248220698962,-21.5183587382374,15
-26.3477633969416,-69.0779673793108,19.2545045323824,-12.5012624575118,-16.6117830158431,16
-23.7175022909686,-67.9857873789913,19.8304018164001,-10.1719768360656,-12.7192547613466,17
-22.7888124997046,-68.7921644807158,20.2796807227763,-8.2846496160685,-12.9729174601467,18
-19.3913930599232,-70.4865189752184,16.6938002140858,-5.52532093560895,-11.0207275368285,19
-15.7069762794839,-67.7393362807049,16.6452768576289,-8.05067565854498,-9.60615228665444,20
-12.9187636708527,-66.8815245812544,15.7063116187536,-5.6352592123985,-8.71013675650687,21
-11.3625911184386,-65.9995997532979,15.5043271270326,-0.214088138132998,-8.35880933472026,22
-6.79192608200685,-59.9909788952884,13.847538561185,4.13624354732829,-8.32569416684766,23
-5.6754846757636,-55.9457499540289,14.3018978797926,7.90399708896504,-10.5182308041991,24
-4.29132096398512,-51.7897699221273,16.240975983493,10.1234540081228,-8.67812439078588,25
-6.67728266131392,-52.6594219804172,15.8493032153447,10.7100206556209,-7.28382611308267,26
-8.64627932168072,-55.2161446700708,14.9720218553655,9.87288704967901,-6.5109934069807,27
-12.6002605199068,-56.3386158590327,14.0133019173217,7.19938262821526,-7.7173491712958,28
-15.8038350783039,-58.8393854208231,10.9463866408854,4.95481623866053,-8.28782308199876,29
-18.2151275392522,-58.3680158107131,8.2397200850001,0.493255833357144,-6.71432657539384,30
-18.4197502869984,-59.0470513471899,9.99491925875777,-3.86064635434286,-7.62720765522776,31
-20.7198766139513,-62.3935607622041,11.2101336784649,-6.33466453087467,-6.20591054908436,32
-19.9503754686023,-63.4408686838099,11.987621244092,-9.90094054463358,-4.82216240382538,33
-20.5953589283342,-63.6043441338251,7.5798742340406,-14.793222537579,-2.95270567045619,34
-24.1054450023773,-67.2417785015504,7.01585491355222,-14.7091592065138,-1.62649692078432,35
-25.0295980230716,-68.6306260377248,7.34139168501517,-18.5298864687869,0.042163005190531,36
-24.6428867247373,-66.2890081983925,8.58518001066218,-21.795121851793,-0.788223865400616,37
-20.2151349281494,-61.3369933503742,7.78591786727921,-22.2858587064893,-1.53425099699545,38
-16.1046109439255,-57.4147844573021,6.19567734176764,-23.0764516659811,-3.56221799340363,39
-9.90441971361545,-54.8220988660786,7.86010633404077,-23.6133162558823,-5.2451823182461,40
-3.3810919106292,-50.0623394927176,10.2584946186468,-26.2773559359952,-6.68756947787927,41
2.02989748916067,-45.9534979468873,10.7221266713751,-25.0050744229599,-7.92148502783165,42
3.45950225888861,-41.7145749113382,10.5254981721792,-25.984954757234,-7.92406545889591,43
8.34727700675206,-37.0378621942605,8.83546108163257,-26.280832752046,-11.8376550382976,44
11.1002573940796,-32.2673775525736,9.02254300999766,-28.9992234651063,-13.7961059190529,45
15.3182655765405,-28.4541540134077,9.19232542987676,-23.7555325715188,-16.4038429332412,46
18.6628505025773,-20.7568109425404,8.59132267392537,-21.0052490230187,-19.7332183318664,47
21.8935484168197,-13.8874287945158,8.13034932283397,-19.3387539571474,-24.6872071048911,48
25.0786736968376,-8.18848515604243,6.15984685188143,-18.8918808647011,-30.3300304655456,49
24.3140171557195,-9.94890801223762,9.4262625897357,-15.3924410556879,-29.9549610475345,50
23.7166058803835,-6.02617799516424,10.4881424767705,-12.4634567530679,-32.5208451959737,51
22.1456810199438,-5.93812405090053,11.0011024784194,-11.1690494639108,-34.9476116952224,52
19.8272103094043,-3.66711929498982,9.49921341709499,-11.2520074084969,-37.6256834078945,53
19.6560121579007,-2.51073067404567,10.0793017957008,-9.86900448082642,-39.8475547075411,54
19.5846980802399,-2.87631985104185,10.1460548195274,-9.85047617760748,-42.5322166887999,55
17.4969554453764,0.244305657822165,10.6057811525859,-2.7070612806189,-44.6762938761458,56
15.3740350616954,1.82759366808205,8.85832191050295,4.32756356394628,-44.9915696089364,57
13.4772398534392,0.515310883828061,9.53237112711849,2.58833501660056,-44.9409007331367,58
13.5452778676361,0.16437973813314,11.6998300454177,1.92136641162888,-46.4808371988005,59
14.1425524464538,1.13770546468914,13.4746720603522,0.573097542952579,-45.5030276262136,60
13.2559405777118,2.52098072369536,12.0590440689608,-0.0547401957760592,-42.170093513563,61
12.747668434679,6.91728306104652,10.4877647562272,-0.494540479848387,-44.9567157739552,62
13.4821853749334,5.41584113884003,10.9944014774475,-3.60295921571445,-44.1783588853339,63
11.6789361672684,7.8305133488546,9.74681830254011,-6.16639919913755,-43.2979385673742,64
9.54896589135153,7.49161948127626,10.2120682294233,-2.08243566572451,-42.8847468805168,65
9.87026102535431,10.2850136948298,10.3120423251441,2.86855125368541,-42.1169604728895,66
9.30701448258929,13.2925741145005,11.236136722389,8.76525773369228,-40.6664305864999,67
8.04037518175456,14.2175755743794,11.2434920184796,4.4161421861384,-41.2882821029443,68
7.7685912075213,15.0066547305048,12.8516072030089,2.75171630519852,-43.0761843011353,69
6.26727659470777,18.5056073587553,13.8697756184138,1.28036158788956,-43.8819109577108,70
4.43780524478314,18.5511390758806,11.0521436084604,0.710184074513953,-43.1941379016003,71
3.0899079428474,15.92970919206,11.8878458568499,0.208338070578916,-42.776102595999,72
2.23738353282928,15.7443425522452,13.6467354715186,0.911689156934802,-44.390386355165,73
1.93931486552737,13.4090456369571,15.2459730592583,-0.248263962777706,-42.8999151628156,74
-2.04501790467747,14.914270223955,13.3241547932693,3.08836357238355,-41.3319164661228,75
-4.4930663882022,14.5217010676552,10.2131758383911,10.0015864592756,-37.5002267597592,76
-7.55567661168785,15.7387535587491,6.83569925911417,8.71649129657263,-37.7485904566044,77
-14.8707375510109,12.9141051025818,4.39473637710876,2.45385451627078,-36.2759081666703,78
-19.3944393320883,10.8502039263752,1.98927688778105,-2.63869897715053,-33.447077596509,79
-20.340198301958,11.0892022839518,4.45005076044301,-3.55779735131528,-29.8426633848214,80
-22.5096348115729,12.9868262908706,3.18856485078542,-6.14852023589348,-27.776615675191,81
-22.9949306471466,12.5164201667517,3.13070217806093,-3.22491595149576,-25.0494878096143,82
-26.8195083689083,10.0941583920282,5.1228404805556,-9.68904177390427,-20.8424177624399,83
-30.9858236616005,7.20586330704589,5.18387976429719,-8.533700023135,-16.4518244098778,84
-33.9839420606132,6.52273705993228,5.02934332260984,-9.15072498889824,-7.01194400611254,85
-38.1501443339521,7.83721238134259,3.61544087261369,-7.48235789882387,3.23972509097617,86
-39.5750444899728,9.19219745006508,1.54658268338853,-9.42662468193715,10.2436949637211,87
-40.1213352147813,9.83776260706132,6.24418808693324,-12.640150434626,17.2355784046188,88
-38.1088278346412,8.45708991629767,11.2664183661943,-17.3009991481574,23.6050163943179,89
-34.2925730332567,8.97750178121446,14.0445789570268,-18.1568454151851,30.414704054504,90
-31.8955114479978,7.11324746785305,14.5832671776231,-15.155164634545,35.0621758403797,91
-29.7513101764486,4.82928161483619,15.6589278333138,-14.4295783956125,39.2323318234877,92
-26.86713714165,2.46458122498053,17.2171854962904,-12.6861474619374,43.1635561585943,93
-26.3920589226501,1.69190234803048,16.6635717909393,-12.3945343643439,45.6362651450667,94
-20.537261485602,6.04458061291244,15.8246138112033,-4.82217070506702,45.6645546668361,95
-16.276804193481,9.49289024410977,13.6893868659112,-7.92176812953876,43.8107415213481,96
-14.3921697288197,11.7304320332962,13.9743002783793,-7.04109452100096,45.1624896293631,97
-9.90416137040287,11.6621351828819,15.236454098249,-4.10803025793076,42.2335038355002,98
-8.37238771571786,7.63279287768565,20.2999594506194,-6.90032356754364,41.02494819078,99
-6.25867941648492,7.31822526693492,18.8484874413801,-9.88039008272435,37.0267619158281,100
-6.68026111711767,10.546753511312,15.7087464604908,-11.938814703588,35.3910145276763,101
-6.9002285718476,9.95968407819362,15.1213687793839,-12.5014908216331,26.3881954045093,102
-5.74842771976873,13.9969222045874,14.8928259587432,-14.3040625395537,22.6375226762385,103
-6.38498343792681,14.3411983413023,11.0966207249113,-15.0513923866615,19.7597130880297,104
-8.50424785084593,14.1151663070491,9.22465982302354,-17.049517203416,17.114553535761,105
-7.59188875510384,13.2537446033602,9.26595399186634,-19.7304483802334,15.3751732399066,106
-10.7230533694919,11.2825844104381,7.0005490791715,-21.7476560186498,14.3945114732011,107
-10.2537133845884,9.63863396499666,8.75463939501396,-19.0138668349768,15.1518547294182,108
-8.77976047486998,10.8785464897691,10.3377733308128,-16.6528103027738,9.7521617905447,109
-7.83750673370813,13.5055855549038,10.9945814153026,-15.509767155375,11.4704682741674,110
-4.16888238368856,15.8729864430432,8.22247853246554,-9.8921502171157,6.05054026774034,111
-0.618271541475448,14.822697842445,7.94183350669508,-7.69748639632945,1.13117592714151,112
3.6178250160848,10.9736623429713,9.12205354879138,-2.90188721731514,-2.15305673620784,113
